date,open,close,high,low,volume
09-Sep-10,5608.3,5640.05,5647.45,5608.1,152464.55
13-Sep-10,5639.2,5760,5770.6,5639.2,157816.26
14-Sep-10,5760.3,5795.55,5838.45,5760.3,171294.06
15-Sep-10,5795.25,5860.95,5869.45,5792.2,172248.94
16-Sep-10,5861.1,5828.7,5901.65,5815.8,163616.04
17-Sep-10,5828.7,5884.95,5898.4,5828.7,169815.82
20-Sep-10,5885.05,5980.45,5989.5,5885.05,161692.95
21-Sep-10,5980.5,6009.05,6032.8,5961.85,179331.6
22-Sep-10,6008.4,5991,6037.4,5946.45,170587.42
23-Sep-10,5991.05,5959.55,6006.8,5932.4,144843.57
24-Sep-10,5959.45,6018.3,6029.1,5951.2,160123.09
27-Sep-10,6018.3,6035.65,6073.5,6018.3,153874.18
28-Sep-10,6036.05,6029.5,6049.8,5991.3,151268.72
29-Sep-10,6029.15,5991.3,6071.55,5979.65,155324.23
30-Sep-10,5991.35,6029.95,6048.45,5963.6,200142.61
01-Oct-10,6030.3,6143.4,6153.1,6030.3,181746.99
04-Oct-10,6144.7,6159.45,6222.1,6144.7,177353.83
05-Oct-10,6159.45,6145.8,6188.35,6118.05,177671.74
06-Oct-10,6150.95,6186.45,6223.4,6148.6,205415.66
07-Oct-10,6186.85,6120.3,6199.45,6107.5,200826.04
08-Oct-10,6121.4,6103.45,6148.6,6067,168051.74
11-Oct-10,6105.95,6135.85,6187.75,6105.95,144963.18
12-Oct-10,6135.95,6090.9,6144.95,6057.95,148921.27
13-Oct-10,6091.45,6233.9,6240.25,6089.75,195379.44
14-Oct-10,6234.3,6177.35,6284.1,6157.9,185330.77
15-Oct-10,6175.9,6062.65,6200.6,6050.35,160295.65
18-Oct-10,6112.75,6075.95,6115.1,5985.1,162542.59
19-Oct-10,6114.45,6027.3,6127.05,6008.15,155755.5
20-Oct-10,6002.95,5982.1,6038.1,5966.75,140597.4
21-Oct-10,6008.9,6101.5,6113.5,5984.9,154367.72
22-Oct-10,6113.4,6066.05,6121.1,6041.35,153891.65
25-Oct-10,6101.25,6105.8,6151.3,6094.6,149410.38
26-Oct-10,6116.3,6082,6120.25,6074.65,158178.58
27-Oct-10,6075.45,6012.65,6075.95,5987.55,168277.16
28-Oct-10,6039.95,5987.7,6071.1,5968.1,248320.55
29-Oct-10,6021.15,6017.7,6032.65,5937.1,167418.27
01-Nov-10,6092.3,6117.55,6132.4,6084.75,147096.62
02-Nov-10,6127.55,6119,6138.1,6094.4,153602.79
03-Nov-10,6150.6,6160.5,6182.5,6146.8,150799.13
04-Nov-10,6209.6,6281.8,6290.15,6199.35,298513.99
05-Nov-10,6321.85,6312.45,6338.5,6303.1,42237.39
08-Nov-10,6335.25,6273.2,6335.9,6265.35,171625.79
09-Nov-10,6281,6301.55,6310.9,6243.55,178241.53
10-Nov-10,6303.2,6275.7,6307.65,6269.25,167869.21
11-Nov-10,6286.35,6194.25,6296.55,6179.5,180832.85
12-Nov-10,6182.3,6071.65,6202.5,6056.75,172439.08
15-Nov-10,6079.9,6121.6,6128.75,6039.4,147750.44
16-Nov-10,6143.45,5988.7,6144.05,5970.6,174612.69
18-Nov-10,6075.95,5998.8,6076.2,5906.75,196886.38
19-Nov-10,6011.3,5890.3,6013.25,5863.95,170580.67
22-Nov-10,5920.9,6010,6020.25,5905.15,137253.34
23-Nov-10,5971.55,5934.75,5973.35,5824.95,168278.25
24-Nov-10,5946.8,5865.75,5976.65,5833.6,158325.95
25-Nov-10,5883.95,5799.75,5907.1,5780.35,247421.3
26-Nov-10,5828.55,5751.95,5838.5,5690.35,227436.18
29-Nov-10,5789.95,5830,5843.15,5754.7,145626.56
30-Nov-10,5811.6,5862.7,5892.25,5768.35,202499.5
01-Dec-10,5871,5960.9,5971,5865.55,163889.38
02-Dec-10,6023.05,6011.7,6029.5,5980.6,164176.67
03-Dec-10,6013.35,5992.8,6025.4,5964.25,147053.14
06-Dec-10,6033.65,5992.25,6069.45,5981.7,134381.43
07-Dec-10,5995.05,5976.55,6001,5939.7,141954.71
08-Dec-10,5954.4,5903.7,5960,5878.6,142135.81
09-Dec-10,5924.25,5766.5,5927.3,5742.3,173290.07
10-Dec-10,5761,5857.35,5865.5,5721.15,171875.54
13-Dec-10,5882.65,5907.65,5913.8,5795.9,133322.37
14-Dec-10,5928.7,5944.1,5953.95,5888.75,131298.69
15-Dec-10,5931.15,5892.3,5942.75,5865.8,169879.16
16-Dec-10,5910.55,5948.75,5956.15,5855.05,153069.89
20-Dec-10,5926.85,5947.05,5985,5900.25,127957.04
21-Dec-10,5960.4,6000.65,6007.45,5960.05,125921.1
22-Dec-10,6019,5984.4,6023.8,5958,128721.03
23-Dec-10,6005.9,5980,6006.45,5964.6,104197.62
24-Dec-10,5940.25,6011.6,6017.35,5940.25,99964.2
27-Dec-10,6013.3,5998.1,6045.75,5991.1,93300.24
28-Dec-10,6005.35,5996,6010.9,5982.25,87044.23
